Name,Awards,Institution
Charles Stark Draper,NaN,Massachusetts Institute of Technology
Susan Dumais,NaN,Microsoft Research
Adam Dunkels,NaN,Swedish Institute of Computer Science
Jon Michael Dunn,NaN,Wayne State University
Jon Michael Dunn,NaN,Indiana University Bloomington
Alan Edelman,5,MIT
E. Allen Emerson,NaN,UT Austin
Douglas Engelbart,NaN,SRI International
Douglas Engelbart,NaN,Tymshare
Douglas Engelbart,NaN,McDonnell Douglas
Douglas Engelbart,NaN,The Doug Engelbart Institute
Barbara Engelhardt,NaN,Princeton University
Barbara Engelhardt,NaN,Chicago University
Barbara Engelhardt,NaN,Jet Propulsion Laboratory
David Eppstein,NaN,"University of California, Irvine"
Don Estridge,NaN,IBM
Oren Etzioni,6,Allen Institute for Artificial Intelligence
Oren Etzioni,6,University of Washington
Christopher Riche Evans,NaN,Royal Air Force
Christopher Riche Evans,NaN,Duke University
Christopher Riche Evans,NaN,University of Reading
Christopher Riche Evans,NaN,National Physical Laboratory
David C. Evans,NaN,"University of California, Berkeley"
David C. Evans,NaN,University of Utah
David C. Evans,NaN,Evans & Sutherland
Shimon Even,NaN,Technion
Shimon Even,NaN,Weizmann Institute of Science
Scott Fahlman,NaN,Carnegie Mellon University
Edward Feigenbaum,NaN,Stanford University
Edward Feigenbaum,NaN,United States Air Force
Edward Felten,2,Princeton University
Edward Felten,2,Federal Trade Commission
Tim Finin,NaN,UMBC
Tim Finin,NaN,Unisys
Tim Finin,NaN,University of Pennsylvania
Tim Finin,NaN,MIT
Tim Finin,NaN,JHU
Donald Firesmith,NaN,Software Engineering Institute
Robert Floyd,NaN,Illinois Institute of Technology
Robert Floyd,NaN,Carnegie Mellon University
Robert Floyd,NaN,Stanford University
James D. Foley,NaN,Georgia Tech
James D. Foley,NaN,GVU Center
Ken Forbus,NaN,UIUC
Ken Forbus,NaN,Northwestern University
Lance Fortnow,4,Illinois Institute of Technology
Lance Fortnow,4,Georgia Tech
Lance Fortnow,4,Northwestern University
Lance Fortnow,4,University of Chicago
Robert France,NaN,Florida Atlantic University
Robert France,NaN,Colorado State University
Edward Fredkin,NaN,Massachusetts Institute of Technology
Edward Fredkin,NaN,Carnegie Mellon University
Edward Fredkin,NaN,"Capital Technologies, Inc."
Yoav Freund,NaN,University of California San Diego
Charlotte Froese Fischer,NaN,University of British Columbia
Charlotte Froese Fischer,NaN,Harvard College Observatory
Charlotte Froese Fischer,NaN,Vanderbilt University
Charlotte Froese Fischer,NaN,National Institute of Standards and Technology
D. R. Fulkerson,NaN,RAND Corporation
D. R. Fulkerson,NaN,Cornell University
Richard P. Gabriel,NaN,Stanford University
Richard P. Gabriel,NaN,Lawrence Livermore National Laboratory
Richard P. Gabriel,NaN,Lucid Inc.
Richard P. Gabriel,NaN,ParcPlace-Digitalk
Richard P. Gabriel,NaN,Sun Microsystems
Richard P. Gabriel,NaN,IBM
Zvi Galil,NaN,IBM
Zvi Galil,NaN,Tel Aviv University
Zvi Galil,NaN,Columbia University
Zvi Galil,NaN,Georgia Institute of Technology
Bernard Galler,NaN,University of Michigan
Hector Garcia-Molina,4,Stanford University
Zoubin Ghahramani,NaN,Google
Zoubin Ghahramani,NaN,University of Cambridge
Zoubin Ghahramani,NaN,Carnegie Mellon University
Zoubin Ghahramani,NaN,University College London
Zoubin Ghahramani,NaN,University of Toronto
Jeremy Gibbons,NaN,University of Auckland
Jeremy Gibbons,NaN,Oxford Brookes University
Jeremy Gibbons,NaN,University of Oxford
Lee Giles,NaN,Ford Motor Company
Lee Giles,NaN,Naval Research Laboratory
Lee Giles,NaN,Air Force Office of Scientific Research
Lee Giles,NaN,NEC Research Institute
Lee Giles,NaN,Pennsylvania State University
Seymour Ginsburg,NaN,University of Southern California
Seymour Ginsburg,NaN,University of Miami
Kurt Gödel,NaN,Institute for Advanced Study
Ashok Goel,NaN,Ohio State University
Ashok Goel,NaN,Georgia Institute of Technology
Joseph Goguen,NaN,"University of California, Berkeley"
Joseph Goguen,NaN,University of Chicago
Joseph Goguen,NaN,IBM Research
Joseph Goguen,NaN,"University of California, Los Angeles"
Joseph Goguen,NaN,SRI International
Joseph Goguen,NaN,University of Oxford
Joseph Goguen,NaN,University of Edinburgh
Joseph Goguen,NaN,"University of California, San Diego"
Adele Goldberg,NaN,Xerox PARC
Adele Goldberg,NaN,Association for Computing Machinery
Adele Goldberg,NaN,Stanford University
Andrew V. Goldberg,NaN,Amazon
Andrew V. Goldberg,NaN,Stanford University
Ian Goldberg,NaN,University of Waterloo
Shafi Goldwasser,NaN,Massachusetts Institute of Technology
Shafi Goldwasser,NaN,Weizmann Institute
Shafi Goldwasser,NaN,Simons Institute
Shafi Goldwasser,NaN,Berkeley
Gene Golub,NaN,Stanford University
Gastón Gonnet,NaN,University of Waterloo
Gastón Gonnet,NaN,ETH Zurich
Ian Goodfellow,NaN,Apple Inc.
Ian Goodfellow,NaN,Google Brain
Ian Goodfellow,NaN,OpenAI
Ian Goodfellow,NaN,DeepMind
Ian Goodfellow,NaN,Google DeepMind
James Gosling,6,Sun Microsystems
James Gosling,6,Oracle Corporation
James Gosling,6,Google
James Gosling,6,Liquid Robotics
James Gosling,6,Amazon Web Services
Susan L. Graham,NaN,"University of California, Berkeley"
Sheila Greibach,NaN,"University of California, Los Angeles"
Sheila Greibach,NaN,Harvard University
David Gries,18,U.S. Naval Weapons Laboratory
David Gries,18,Stanford University
David Gries,18,University of Georgia
David Gries,18,Cornell University
Bill Gropp,NaN,Yale University
Bill Gropp,NaN,Argonne National Laboratory
Bill Gropp,NaN,University of Illinois
Ramanathan V. Guha,NaN,Google
Ramanathan V. Guha,NaN,IBM
Ramanathan V. Guha,NaN,Apple Inc.
Ramanathan V. Guha,NaN,Indian Institute of Technology Madras
Ramanathan V. Guha,NaN,University of California Berkeley
Ramanathan V. Guha,NaN,Stanford University
Neil J. Gunther,9,San Jose State University
Neil J. Gunther,9,Xerox Palo Alto Research Center
Neil J. Gunther,9,Performance Dynamics Company
Neil J. Gunther,9,École Polytechnique Fédérale de Lausanne
Jürg Gutknecht,NaN,Swissair
Jürg Gutknecht,NaN,IBM
Jürg Gutknecht,NaN,ETH Zurich
Jürg Gutknecht,NaN,PARC
Michael Guy,NaN,University of Cambridge
Nico Habermann,NaN,Carnegie Mellon University
Nico Habermann,NaN,University of Newcastle
Nico Habermann,NaN,Technical University of Berlin
Nico Habermann,NaN,Shanghai Jiao Tong University
Wendy Hall,NaN,University of Southampton
Wendy Hall,NaN,Oxford Polytechnic
Wendy Hall,NaN,University of Michigan
Joseph Halpern,NaN,Cornell University
Richard Hamming,7,University of Louisville
Richard Hamming,7,Manhattan Project
Richard Hamming,7,Bell Telephone Laboratories
Richard Hamming,7,Naval Postgraduate School
Jiawei Han,NaN,University of Illinois at Urbana-Champaign
Jiawei Han,NaN,Simon Fraser University
Frank Harary,NaN,University of Michigan
Frank Harary,NaN,New Mexico State University
Brian Harris,NaN,National Film Board of Canada
Brian Harris,NaN,Université de Montréal
Brian Harris,NaN,University of Ottawa
Juris Hartmanis,13,General Electric
Juris Hartmanis,13,Cornell University
Juris Hartmanis,13,Ohio State University
Johan Håstad,NaN,KTH Royal Institute of Technology
Les Hatton,NaN,Kingston University
Les Hatton,NaN,University of Manchester
Les Hatton,NaN,University of Cambridge
He Jifeng,NaN,East China Normal University
He Jifeng,NaN,University of Oxford
He Jifeng,NaN,Shanghai Jiao Tong University
He Jifeng,NaN,United Nations University
He Jifeng,NaN,Tongji University
Eric Hehner,NaN,University of Toronto
Martin Hellman,NaN,Stanford University
Martin Hellman,NaN,MIT
Martin Hellman,NaN,IBM Research
Gernot Heiser,14,University of New South Wales
Gernot Heiser,14,Professor
Gernot Heiser,14,John Lions
Gernot Heiser,14,NICTA
Gernot Heiser,14,Open Kernel Labs
James Hendler,NaN,Rensselaer Polytechnic Institute
James Hendler,NaN,University of Maryland
Carl Hewitt,NaN,MIT
Carl Hewitt,NaN,Keio University
Carl Hewitt,NaN,Stanford University
Danny Hillis,NaN,Thinking Machines
Danny Hillis,NaN,Walt Disney Imagineering
Geoffrey Hinton,NaN,University of Toronto
Geoffrey Hinton,NaN,Carnegie Mellon University
Geoffrey Hinton,NaN,University College London
Geoffrey Hinton,NaN,"University of California, San Diego"
Julia Hirschberg,12,Columbia University
Julia Hirschberg,12,AT&T
C. A. R. Hoare,21,Elliott Brothers
C. A. R. Hoare,21,Queen's University Belfast
C. A. R. Hoare,21,University of Oxford
C. A. R. Hoare,21,Moscow State University
C. A. R. Hoare,21,Microsoft Research
Louis Hodes,NaN,Massachusetts Institute of Technology
Louis Hodes,NaN,National Institutes of Health
Louis Hodes,NaN,National Cancer Institute
John Henry Holland,NaN,University of Michigan
John Henry Holland,NaN,Santa Fe Institute
Gerard Holzmann,NaN,Bell Labs
John Hopcroft,7,Cornell University
John Hopcroft,7,Princeton University
John Hopcroft,7,Stanford University
John Hopcroft,7,Shanghai Jiao Tong University
John Hopcroft,7,Chinese University of Hong Kong
Grace Hopper,NaN,Vassar College
Grace Hopper,NaN,Harvard University
Grace Hopper,NaN,Eckert–Mauchly Computer Corporation
Grace Hopper,NaN,Remington Rand
Grace Hopper,NaN,Digital Equipment Corporation
Alston Householder,NaN,Oak Ridge National Laboratory
Paul Hudak,NaN,Watkins-Johnson Company
Paul Hudak,NaN,Yale University
John Hughes,NaN,Chalmers University of Technology
Roger Hui,NaN,I. P. Sharp Associates
Watts Humphrey,NaN,IBM
Watts Humphrey,NaN,Software Engineering Institute
Roberto Ierusalimschy,NaN,Pontifical Catholic University of Rio de Janeiro
Dan Ingalls,NaN,Xerox PARC
Dan Ingalls,NaN,Apple Inc.
Dan Ingalls,NaN,ATG
Dan Ingalls,NaN,Interval Research Corporation
Dan Ingalls,NaN,Walt Disney Imagineering
Dan Ingalls,NaN,Hewlett-Packard
Dan Ingalls,NaN,Labs
Dan Ingalls,NaN,Sun Microsystems
Dan Ingalls,NaN,Labs
Dan Ingalls,NaN,SAP SE
Mary Jane Irwin,NaN,Pennsylvania State University
Kenneth E. Iverson,6,Harvard University
Kenneth E. Iverson,6,IBM
Kenneth E. Iverson,6,I. P. Sharp Associates
Ivar Jacobson,NaN,Ericsson
Ivar Jacobson,NaN,Rational Software
Ivar Jacobson,NaN,IBM
Ivar Jacobson,NaN,Ivar Jacobson International
Anil K. Jain,NaN,Michigan State University
Anil K. Jain,NaN,Wayne State University
Ramesh Jain,NaN,University of Hamburg
Ramesh Jain,NaN,"University of Texas, Austin"
Ramesh Jain,NaN,Wayne State University
Ramesh Jain,NaN,University of Michigan
Ramesh Jain,NaN,"University of California, San Diego"
Ramesh Jain,NaN,Georgia Tech
Ramesh Jain,NaN,"University of California, Irvine"
Ramesh Jain,NaN,National University of Singapore
Ramesh Jain,NaN,Stanford University
Stephen C. Johnson,NaN,Bell Labs
Cliff Jones,NaN,IBM Laboratory Vienna
Cliff Jones,NaN,Victoria University of Manchester
Cliff Jones,NaN,Newcastle University
Michael I. Jordan,NaN,"University of California, Berkeley"
Michael I. Jordan,NaN,"University of California, San Diego"
Michael I. Jordan,NaN,Massachusetts Institute of Technology
Mathai Joseph,NaN,University of Warwick
Mathai Joseph,NaN,Tata Institute of Fundamental Research
Aravind K. Joshi,12,University of Pennsylvania
Dan Jurafsky,NaN,Stanford University
Dan Jurafsky,NaN,University of Colorado Boulder
William Kahan,NaN,"University of California, Berkeley"
Robert E. Kahn,2,Bell Labs
Robert E. Kahn,2,MIT
Robert E. Kahn,2,BBN
Robert E. Kahn,2,DARPA
Robert E. Kahn,2,Corporation for National Research Initiatives
David Karger,NaN,Harvard University
David Karger,NaN,Stanford University
